0,1,2,3
2454,4,6693,0.5
5895,16,6701,0.8125
9005,2,6738,0.65625
17006,3,6777,0.96875
11,16,6842,0.1875
6922,1,7593,0.625
10625,3,7785,0.78125
82,8,7887,0.4375
73,4,7923,0.40625
5,16,8056,0.09375
1054,16,8065,0.71875
143,4,8108,0.46875
5,1,8157,0.03125
21694,8,8188,0.6875
32694,1,8234,0.53125
69,24,8266,0.375
1440,8,8299,0.75
8454,24,8315,0.90625
9447,128,8825,0.9375
10,1,8951,0.15625
20449,127,9014,1.0
5,32,9077,0.125
16,8,9290,0.21875
4,23,9435,0.0625
50,8,9455,0.3125
19,1,3911,0.21875
11922,32,3972,0.375
12,94,4101,0.34375
7858,8,4114,0.46875
16,1,4171,0.15625
2,4,4206,0.125
40,40,4274,0.3125
70,1,4454,0.25
33,4,4534,0.03125
95,1,4835,0.1875
11945,4,5097,0.40625
21175,4,8647,0.4375
35,1,10478,0.09375
20,2,12071,0.0625
24,32,12581,0.28125
23,32,54147,0.5
14439,3,54482,0.84375
7425,32,54581,0.875
15,1,56989,0.53125
10277,256,57093,1.0
14446,4,57118,0.71875
12,16,57715,0.5625
105,32,57827,0.59375
33,32,58832,0.625
12,14,58862,0.65625
339,32,58872,0.6875
40,2,59099,0.75
18323,1,59199,0.8125
979,4,59335,0.78125
9994,76,60287,0.90625
7677,128,61463,0.96875
142,37,61501,0.9375
19,1,11246,0.03125
42,32,11292,0.0625
68,39,11326,0.09375
19761,16,11437,0.8125
12595,256,11474,1.0
31727,4,11609,0.40625
21622,4,11644,0.125
51,1,12307,0.15625
176,1,12386,0.1875
4,4,12418,0.21875
32,2,12432,0.25
31153,16,12543,0.4375
63,4,13802,0.28125
13219,16,13827,0.46875
391,1,14250,0.3125
5376,1,14497,0.71875
24,32,14537,0.34375
76,4,14966,0.375
79,1,24736,0.5
14,1,24927,0.53125
11973,41,24997,0.5625
18,32,25420,0.59375
33,16,25481,0.625
4267,8,25547,0.65625
107176,64,25580,0.6875
8421,2,25785,0.75
6656,3,26553,0.78125
1910,1,52019,0.84375
74,8,52557,0.875
8589,16,52616,0.9375
13558,33,52709,0.90625
34,1,52876,0.96875
11121,21,3284,0.96875
22,1,3329,0.09375
59,1,3350,0.21875
273,5,3395,0.65625
321,7,5047,0.625
10790,1,5256,0.4375
53,4,5274,0.25
3,8,5386,0.34375
5844,3,5395,0.59375
2231,4,5453,0.71875
15,4,5618,0.1875
70,32,5961,0.40625
9178,7,6496,0.90625
263,64,6507,0.84375
124,16,6829,0.5
11,2,6836,0.125
6,64,6879,0.8125
11197,1,6983,0.75
77,16,7217,0.46875
81,32,7230,0.53125
73227,4,7433,0.875
25421,16,7731,1.0
31,32,8499,0.375
135,34,8636,0.5625
25,1,8818,0.03125
28,1,8889,0.15625
6,1,8973,0.0625
321,32,9470,0.6875
41381,16,9490,0.9375
144,3,9736,0.3125
13642,2,9760,0.78125
17148,1,10042,0.28125
194,2,6554,0.03125
12116,26,6561,0.0625
9,8,6730,0.09375
58,1,8197,0.125
11940,256,8243,1.0
20229,13,8325,0.6875
28,4,8347,0.15625
32,2,8527,0.1875
46,4,9518,0.21875
12920,2,9671,0.40625
9585,64,9862,0.65625
5,1,10521,0.25
13188,8,10545,0.59375
7,1,10617,0.28125
828,1,10643,0.3125
15652,32,10665,0.46875
14,1,10829,0.34375
261,4,10881,0.375
517,8,10960,0.53125
12,6,10989,0.4375
25,16,11023,0.5
159,4,11170,0.5625
18407,16,11199,0.625
8773,49,16903,0.96875
7068,8,17041,0.75
11822,1,17147,0.9375
8766,2,17614,0.78125
21,1,17657,0.71875
363,1,17922,0.8125
295,1,18076,0.84375
57,8,18554,0.875
21,16,18611,0.90625
387,2,1583,0.0625
45,32,4035,0.03125
4,1,5109,0.09375
41,1,5164,0.125
18,1,5222,0.15625
11413,154,5348,0.25
59,1,5376,0.1875
173,16,5631,0.625
985,2,5713,0.875
16697,211,8320,1.0
3,7,8373,0.21875
17288,128,8409,0.84375
375,8,91601,0.28125
15,1,91631,0.3125
48285,1,92897,0.4375
43,1,93409,0.34375
7046,256,93435,0.96875
10,1,93814,0.375
15528,1,93858,0.78125
5029,1,93885,0.75
3,4,95411,0.40625
8,16,95572,0.46875
458,8,95617,0.90625
26,1,95658,0.5
195,16,95743,0.59375
83,3,95786,0.53125
59,1,95848,0.5625
9224,1,96109,0.6875
329,4,96277,0.8125
5,32,96434,0.65625
12743,1,97045,0.71875
160,32,97406,0.9375
608,16,13735,0.03125
6,1,14533,0.0625
46,32,14638,0.09375
6525,7,15167,0.125
231,4,15215,0.15625
37,8,16313,0.1875
17,1,16375,0.21875
48,62,16418,0.25
5330,4,16435,0.53125
22333,8,16449,0.3125
755,7,16562,0.28125
18,1,16632,0.34375
5,2,17078,0.375
15815,13,17201,0.46875
8,4,18158,0.40625
18034,1,18993,0.5
14,32,19111,0.4375
16,2,22261,0.5625
18152,1,22456,0.59375
9940,256,23314,0.96875
4775,128,24325,0.71875
111,2,25352,0.625
12,4,27206,0.65625
90,8,27266,0.6875
41149,131,27347,1.0
113,27,28094,0.75
26,1,28193,0.78125
10762,32,28450,0.8125
254,4,31444,0.84375
113,3,31554,0.875
178,1,31642,0.90625
17,1,32936,0.9375
377,4,6165,0.03125
11040,8,6297,0.21875
23,35,6760,0.0625
20452,8,6915,0.6875
40,4,7054,0.09375
6,4,7557,0.125
6700,64,8263,0.15625
126,2,8292,0.1875
6922,4,8499,0.40625
13648,28,8658,0.375
4866,16,8737,0.34375
6456,16,9016,0.28125
7,4,9041,0.25
10036,32,9070,0.8125
21035,1,9157,0.3125
10,11,51610,0.4375
20,4,53597,0.46875
21301,4,53658,0.625
8,4,53692,0.5
7,8,54228,0.53125
54,4,55167,0.5625
22,32,55328,0.59375
10681,2,55349,0.71875
16036,20,56041,1.0
10969,128,56048,0.78125
18,4,56568,0.65625
12234,1,56635,0.75
8,11,59803,0.84375
17290,8,59884,0.875
10709,64,63593,0.96875
4,8,63670,0.90625
7,1,63681,0.9375
20,8,19163,0.40625
7413,64,20373,0.8125
91,2,20593,0.4375
200,32,21393,0.6875
40,1,22314,0.375
7681,128,30891,0.96875
120,2,30908,0.5625
86,3,31039,0.5
24,8,31158,0.09375
8249,1,32915,0.65625
3,32,33050,0.0625
7223,4,33290,0.75
7,8,33352,0.21875
4,32,33473,0.59375
11600,216,34897,1.0
8138,8,35120,0.78125
9,8,35181,0.3125
355,8,35236,0.1875
5,1,35275,0.125
44,64,35334,0.625
98,2,35420,0.46875
2,4,35457,0.34375
742,8,36124,0.53125
11,8,36985,0.25
17625,5,36999,0.15625
5581,16,37073,0.84375
26,1,39470,0.03125
5,1,39655,0.28125
17330,7,39990,0.71875
12,1,40365,0.875
7,5,40411,0.90625
25,1,40521,0.9375
17549,128,7571,0.96875
79,16,7842,0.03125
18869,16,7960,0.40625
14,4,7985,0.0625
167,4,8453,0.09375
19018,4,9000,0.3125
14,2,9130,0.125
546,8,9199,0.15625
13590,8,9326,0.1875
3,1,10487,0.21875
119,2,10759,0.25
17093,4,10833,0.46875
80,1,11064,0.28125
567,32,11104,0.375
189,1,11122,0.34375
9347,256,11136,1.0
142,8,12307,0.4375
56,8,12591,0.5
8,1,13006,0.53125
12854,3,13692,0.59375
59,32,14868,0.5625
