1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
2,[1.2862065211836056, 1.2886771857766826, 1.3079097828637636, 1.3200808767400996, 1.3221641306470497],[('r3q', 'r4p'), ('r4p', 'r4q'), ('r3p', 'r4q'), ('r3p', 'r3q'), ('r2q', 'r4p')]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
1,[1.2727909787859337, 1.2732833554626957, 1.2748930977117752, 1.2759070896436475, 1.278522341251807],[('r4p',), ('r3p',), ('r4q',), ('r3q',), ('r2q',)]
3,[1.3632406356465743, 1.364551811911086, 1.3648916036425347, 1.3665197380640337, 1.3677716773641835],[('p4q', 'r4p', 'r4q'), ('r3q', 'p4q', 'r4p'), ('r3p', 'p4q', 'r4q'), ('r3p', 'r3q', 'p4q'), ('r2q', 'p4q', 'r4p')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
3,[1.0003153515821601, 1.0003947578512513, 1.0004074078936562, 1.0004750801006355, 1.0004796715280073],[('r4', 'q4p', 'p4r'), ('r4', 'q3p', 'p4r'), ('p4', 'r4', 'q4p'), ('p4', 'q4', 'r4'), ('p4', 'q4p', 'r4p')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
3,[1.0003153515821601, 1.0003947578512513, 1.0004074078936562, 1.0004750801006355, 1.0004796715280073],[('r4', 'q4p', 'p4r'), ('r4', 'q3p', 'p4r'), ('p4', 'r4', 'q4p'), ('p4', 'q4', 'r4'), ('p4', 'q4p', 'r4p')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
2,[1.0000000687381108, 1.0000003845348913, 1.0000007016175474, 1.0000009714029523, 1.000001195608339],[('p4', 'r4q'), ('p4', 'r3q'), ('r4', 'p4q'), ('p4q', 'r4q'), ('p4', 'r4')]
