FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
7517.806546,6400.442045,3030.990038,4708.116402,653.010859,36.418411,3869.773252,6959.503286,6039.106299,7310.038548,2242.150613,6329.470399
8879.809131,8982.791044,4067.211827,6742.787356,242.66741,36.720216,5262.887908,9607.540171,8466.056891,9835.315238,3709.275295,8407.60204
3419.9015,3749.346335,1542.260997,3470.411106,69.589236,56.872511,2332.724345,4010.005451,2342.597188,3919.886035,2850.025146,3128.625895
8538.930405,8416.15075,7202.874802,5577.207925,485.16219,271.841065,6798.521576,10415.658543,6825.531587,8713.989265,1141.952724,6430.587492
9902.096806,10328.340702,5452.004041,6585.180439,119.636234,84.489494,6667.259248,7441.485802,6427.806147,7692.699245,1963.617307,6996.407697
3751.209682,3410.770834,2339.246872,1099.10013,52.556487,27.813794,559.966596,5943.046203,2585.703192,4091.92473,274.137246,3092.841081
14414.252349,14975.731299,8637.492958,14225.861402,2327.85044,1385.097445,15017.838545,14697.313083,13668.261255,14776.872055,7676.239315,13460.61874
6708.790783,5939.095158,5122.829529,3379.871404,323.576389,210.719716,2552.757154,5924.68313,4598.025559,4891.731395,1925.325967,5605.905525
7456.152557,6768.035193,3667.815652,4393.093377,170.834571,28.969033,2745.318874,5840.649801,6855.861797,6066.396879,700.474592,4883.658165
14460.476072,15596.382417,8578.042764,11840.680691,2634.509874,1364.702588,9179.738618,13830.370056,12991.493949,14012.282639,7998.12085,11613.969714
1943.797016,910.53277,292.547591,395.441113,69.752526,38.777657,386.718435,1684.110348,1623.813787,1505.571551,588.345099,1322.473632
7881.950847,7180.579185,4020.627461,6509.352394,1377.52986,716.945604,6272.833933,7698.268649,4705.806104,7942.835959,5566.403656,7787.473886
11834.54355,14680.603491,7268.075051,10895.519753,1134.860968,280.761667,5189.374369,11062.616639,12223.532009,12379.027457,6852.436599,11683.42347
6096.044576,5160.864987,2123.728751,5346.377829,123.791296,40.727117,5439.989029,6468.339727,4855.957579,7440.210078,3773.276196,5464.068964
