MEM1,MEM2,MEM3,MEM4,SAF,F2,FCFS
1107.995056,33.958671,60.464035,29.536271,29.536271,24.996707,7499.1712
906.13529,27.965273,33.45919,43.475852,43.475852,38.209948,9344.446725
468.38875,30.142644,32.60659,16.746743,16.746743,20.82379,5126.256627
1344.259492,59.152467,59.425959,35.769788,35.769788,62.649544,5538.22828
235.476727,12.631413,18.701138,8.313945,8.313945,15.962357,4213.10749
2170.413616,69.608705,78.201969,243.212163,243.212163,767.866446,11109.607406
1859.0772,14.747947,30.299931,11.267142,11.267142,94.862521,11444.204317
869.107871,25.725986,23.135817,39.720715,39.720715,21.249013,7704.90093
700.225941,27.153107,24.596462,62.179382,62.179382,27.495232,7070.390823
1187.560573,22.598106,42.198229,20.341068,20.341068,30.571359,8853.738516
473.51609,33.950782,34.712935,26.810083,26.810083,21.139746,6220.640889
2527.002793,125.094151,83.875422,137.070639,137.070639,782.26036,9363.122694
668.604491,15.42516,31.111751,13.905381,13.905381,27.638318,6508.781562
3236.629424,208.572177,109.770342,915.844225,915.844225,873.978591,10184.051714
6823.713926,1629.425164,1392.251208,3368.712986,3368.712986,3801.453214,21740.858037
193.323146,47.342081,46.272418,44.231504,44.231504,46.377405,5013.515871
1644.910667,26.336123,25.507724,21.508928,21.508928,69.488857,8576.203487
3920.376325,52.987915,95.154249,241.380967,241.380967,200.470866,13923.55559
314.462951,29.39728,28.954784,112.84795,112.84795,34.463246,4299.770978
826.941629,30.118227,27.032989,11.735447,11.735447,36.735851,7830.579432
125.463236,25.688064,33.151853,21.123307,21.123307,23.760533,4504.360674
176.920916,13.000052,12.633613,10.806559,10.806559,14.210828,2783.258687
8956.31979,1758.096538,2676.147086,2504.05849,2504.05849,2670.520897,17850.656754
768.362129,50.269502,33.219717,38.960679,38.960679,32.528002,10116.498394
934.52806,47.351166,225.090915,63.881958,63.881958,676.016323,9218.642261
4242.651526,36.752796,137.83089,662.114276,662.114276,716.454149,13871.413735
1586.583025,41.50022,27.425787,18.188209,18.188209,17.132196,8770.792316
283.309014,19.193779,21.774144,13.388844,13.388844,19.323604,2313.036054
516.851657,18.116505,24.515295,70.469182,70.469182,13.413241,3885.77275
435.052383,22.538178,29.193678,19.106899,19.106899,36.094525,9676.28364
307.483875,35.426853,27.696653,19.303913,19.303913,31.090966,2842.79586
330.071725,23.885274,38.18903,19.652518,19.652518,48.835807,5780.164584
4082.356901,441.766065,913.767285,831.633166,831.633166,1111.634185,14397.432387
2709.010211,80.519492,103.510947,137.360753,137.360753,83.950265,9901.168508
312.165335,56.264072,38.380822,25.947411,25.947411,27.8817,4760.403698
2212.274181,184.953313,257.61111,280.8948,280.8948,467.450865,9947.358814
1037.907086,25.221048,18.771721,13.814636,13.814636,47.400507,7517.806546
751.360568,39.557412,40.142814,36.503487,36.503487,18.554587,8879.809131
126.893557,20.153427,22.685848,15.009545,15.009545,18.64133,3419.9015
815.414917,22.341834,19.44117,27.241289,27.241289,296.418617,8538.930405
960.469001,23.439214,26.398196,20.060974,20.060974,21.306659,9902.096806
135.483256,38.96225,23.480946,27.023123,27.023123,38.532507,3751.209682
3008.31663,339.623915,394.804377,948.793285,948.793285,512.391547,14414.252349
551.342786,20.199605,21.022711,16.075545,16.075545,33.082302,6708.790783
532.378598,16.151228,20.144606,15.186662,15.186662,242.304793,7456.152557
5057.824369,593.33689,481.909584,771.669286,771.669286,1501.73414,14460.476072
116.438247,43.140703,29.569957,40.119447,40.119447,31.722318,1943.797016
2081.521697,229.632846,128.059264,158.556038,158.556038,227.89575,7881.950847
2669.046838,15.73038,18.16142,14.349463,14.349463,151.706593,11834.54355
920.132875,23.237086,35.527551,25.968322,25.968322,27.159853,6096.044576
