FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,NEW_3_1,NEW_3_2,NEW_3_3,NEW_3_4,NEW_3_5,MEM1,MEM2,SER_1
7499.1712,4725.720974,1951.243386,888.173617,29.536271,24.996707,2172.299517,3990.161689,4719.278318,5047.942762,4231.2971,2789.522005,1107.995056,33.958671,9352.166672
9344.446725,5944.652786,1954.775508,760.921913,43.475852,38.209948,2313.59312,5351.861195,5407.966418,4443.848696,3945.593075,2322.418536,906.13529,27.965273,8728.206542
5126.256627,1838.173984,1985.344503,346.966094,16.746743,20.82379,81.23881,2993.177149,4440.129863,3702.881873,3810.147378,1901.655948,468.38875,30.142644,2761.798069
5538.22828,3288.547473,4748.1785,2154.575005,35.769788,62.649544,1258.163963,4275.316145,4160.641908,4149.054291,4374.336219,2661.211446,1344.259492,59.152467,7939.725472
4213.10749,891.684496,1509.066338,128.434795,8.313945,15.962357,29.411425,1683.575157,1559.524223,1489.587219,1196.417852,145.656996,235.476727,12.631413,81.772691
11109.607406,6052.034277,3812.591704,2890.057207,243.212163,767.866446,2899.977436,8880.920893,8135.772398,8686.910653,6731.822791,5476.113907,2170.413616,69.608705,7663.411869
11444.204317,8592.712494,4823.924826,3034.894241,11.267142,94.862521,3515.17366,8151.655178,7076.427628,7910.562359,6279.267729,5176.586227,1859.0772,14.747947,8770.800559
7704.90093,2632.846712,1986.678286,713.226988,39.720715,21.249013,233.490562,1998.507773,2559.054416,1922.428495,2826.705458,99.936392,869.107871,25.725986,5469.225356
7070.390823,3810.080715,2184.263917,649.733284,62.179382,27.495232,1240.070111,5628.128781,5230.687124,5185.073512,5046.28132,2564.870987,700.225941,27.153107,6258.516028
8853.738516,4214.557391,1868.549398,1589.549162,20.341068,30.571359,1523.803101,4620.926927,5362.604116,5282.723935,4514.867888,2885.58431,1187.560573,22.598106,6392.731131
6220.640889,2184.719073,1299.63098,109.738539,26.810083,21.139746,388.755105,3626.735175,4251.284196,4764.115542,3800.619894,841.919199,473.51609,33.950782,1207.038707
