FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,NEW_3_1,NEW_3_2,NEW_3_3,NEW_3_4,NEW_3_5,MEM1,MEM2,SER_1
7499.1712,8303.609856,5788.546578,6479.599427,83.563051,46.249304,2346.653617,4358.155896,4006.890064,2658.486494,6350.119915,4242.294938,820.057688,60.887563,3546.968146
9344.446725,9855.406394,5065.023408,10491.834595,155.727669,47.38256,4217.627026,3918.33818,3692.195115,3306.515817,4947.823197,3825.96681,3246.405938,43.030876,5311.851855
5126.256627,4446.917885,3169.20423,3270.585318,71.995752,30.597253,2021.802433,2662.484952,2697.793649,1985.2263,4387.765389,3364.742917,706.099163,75.69539,2742.242533
5538.22828,5462.663953,4235.632734,4125.943288,403.732347,112.616274,1491.552888,3048.003778,3030.433458,3200.713136,4801.58126,4068.378867,867.785615,105.788215,2952.338066
4213.10749,2723.910917,1335.141601,1730.956635,58.139313,19.477928,816.542365,1063.590052,1021.148135,799.263191,1482.549153,1017.881416,390.015169,28.176255,1546.007384
11109.607406,10892.45364,5730.116263,7807.137741,1664.387015,875.346071,4963.730731,6309.65739,6855.313186,6231.727966,8616.243609,6887.759311,3302.483956,304.634118,5297.661564
11444.204317,10148.224263,6577.304877,8385.380252,370.244968,141.641915,6039.39695,6984.944095,6493.890869,4912.757531,7086.743169,6191.125054,1307.56592,142.413965,7280.081849
7704.90093,7658.809415,4295.517961,5475.869093,80.035326,32.168518,4163.657421,4053.744779,3799.180224,1208.270185,5267.840532,1190.405806,1578.713442,47.80513,5176.614691
7070.390823,6261.440904,5239.354729,5396.778292,473.284357,35.825107,3912.446413,4397.886653,4136.675966,3091.410495,4614.344367,4591.137051,1067.578217,46.080769,2573.785787
8853.738516,5454.847953,4193.557184,6268.755604,1028.253736,61.397427,2553.498863,3508.946413,2688.563526,3994.971392,6418.524502,3497.593091,1394.011462,306.325632,4364.623118
6220.640889,4809.692994,1708.339222,3677.542752,78.65073,26.546683,1973.359447,4291.313266,3102.942886,3755.671089,4203.662269,3530.511021,564.15119,47.082453,2863.060623
9363.122694,9566.85158,6951.221555,7252.047637,1466.259249,534.182884,5524.086851,6349.913532,5476.438062,4416.002944,6679.345234,6192.837181,2104.801528,780.682506,6356.948938
6508.781562,6573.981498,2933.606838,4892.353437,60.367992,198.914028,2181.865758,1869.56849,1942.56869,2867.817383,2770.829352,2683.068604,587.790474,33.250813,2066.523652
10184.051714,10952.356523,7074.52291,10409.800603,3203.847877,1963.23544,7375.26684,6980.739814,6927.714414,6436.48024,8810.741911,7023.535853,5759.385749,1172.926584,7237.235952
21740.858037,20935.163903,13134.93671,17969.564925,5964.461151,3919.747962,15183.096475,15518.386683,14925.79494,9890.031566,15849.122362,12922.133962,11122.992865,3643.584418,14325.280065
5013.515871,3712.573704,1369.465108,2915.520278,77.598821,61.340219,1556.237731,2153.802782,2192.005987,1925.473316,3161.114664,1969.538457,785.504315,54.979388,1713.160463
8576.203487,8242.855083,5643.055605,6317.857756,477.326218,153.227591,3578.964723,5572.762062,5062.474953,3115.36839,6393.29334,4912.921056,1570.899285,104.829721,4782.388581
13923.55559,15589.603651,8152.263127,13056.396156,1451.950135,452.406093,7949.433312,10712.24676,9892.526476,7631.065477,11093.651611,8595.439088,8322.052477,897.19155,10481.835003
4299.770978,3654.103949,3667.720035,2923.896842,332.712551,41.455484,2082.748019,2357.245068,2259.220327,2579.450708,3588.685484,2793.536096,979.592632,30.9703,2045.116571
7830.579432,7505.736471,3657.140109,5803.533795,33.833977,26.05839,3044.78157,4338.803957,4714.395402,2305.808986,4411.995391,3434.072905,1162.373349,45.065085,3885.501118
4504.360674,3970.200091,1424.527269,1838.389047,78.91761,47.981328,1535.21876,1976.839723,1776.63442,2175.938792,2901.085591,1685.823306,1212.447265,47.813798,1664.532247
2783.258687,3481.225084,1498.295081,1489.500507,80.858923,18.691904,596.792351,1254.895576,1222.923576,1394.790691,3339.138763,1362.451467,753.765318,23.171496,1600.433876
