LIN,S3_V3_D3,S3_V2_D1,SER_9_1,SER_6_3,MEM2,MEM1,SAF,F2
2346.653617,34.679855,38.69809,98.107776,114.467669,60.887563,820.057688,83.563051,46.249304
4217.627026,40.44218,28.797821,98.526138,79.474541,43.030876,3246.405938,155.727669,47.38256
2021.802433,63.101746,28.697417,53.974108,74.758494,75.69539,706.099163,71.995752,30.597253
1491.552888,48.620247,43.859063,55.872572,110.113657,105.788215,867.785615,403.732347,112.616274
816.542365,21.375291,22.18434,23.15833,38.787742,28.176255,390.015169,58.139313,19.477928
4963.730731,82.366027,328.735494,113.153511,147.094209,304.634118,3302.483956,1664.387015,875.346071
6039.39695,47.148936,147.552811,66.961303,103.271617,142.413965,1307.56592,370.244968,141.641915
4163.657421,32.639668,25.835465,42.221044,63.601101,47.80513,1578.713442,80.035326,32.168518
3912.446413,31.650821,27.976255,47.674727,76.803239,46.080769,1067.578217,473.284357,35.825107
2553.498863,47.484516,197.663208,61.930629,97.223019,306.325632,1394.011462,1028.253736,61.397427
1973.359447,24.654681,24.11317,52.731105,93.082841,47.082453,564.15119,78.65073,26.546683
5524.086851,508.407853,461.334841,62.400168,128.550591,780.682506,2104.801528,1466.259249,534.182884
2181.865758,23.950119,45.241984,43.884916,119.831324,33.250813,587.790474,60.367992,198.914028
7375.26684,992.488852,1505.557994,365.732015,485.182076,1172.926584,5759.385749,3203.847877,1963.23544
15183.096475,2658.155656,4812.139605,2453.778132,3129.646425,3643.584418,11122.992865,5964.461151,3919.747962
1556.237731,74.69234,69.144381,120.817043,114.71964,54.979388,785.504315,77.598821,61.340219
3578.964723,59.162141,713.858406,42.289621,120.965679,104.829721,1570.899285,477.326218,153.227591
7949.433312,142.192812,557.021714,285.57494,248.490082,897.19155,8322.052477,1451.950135,452.406093
2082.748019,35.669766,29.643221,43.986363,83.821398,30.9703,979.592632,332.712551,41.455484
3044.78157,37.532581,39.977029,123.985794,89.802226,45.065085,1162.373349,33.833977,26.05839
1535.21876,46.95772,83.67975,65.144138,75.004635,47.813798,1212.447265,78.91761,47.981328
596.792351,18.140555,21.473629,40.432705,43.969555,23.171496,753.765318,80.858923,18.691904
14277.389536,2195.616647,4396.429849,1763.628997,2305.645525,4341.047404,11663.200877,6427.073794,5143.117306
4711.63579,39.277254,89.387518,69.948409,116.841456,62.059719,3154.745238,1536.060718,428.350587
5820.010343,217.978718,152.157345,142.515561,190.775266,348.914982,2975.0608,1196.465848,620.903186
8117.01235,657.162778,2744.89695,105.638601,262.480571,1537.30209,4153.972353,2088.492994,1784.06831
4158.806008,34.156547,38.0934,52.952208,96.366177,29.999303,1992.609313,189.745753,34.684663
239.704733,29.593045,31.047457,42.736065,77.32955,31.688209,454.494594,29.087302,23.81907
1326.205057,23.940847,21.287672,90.490323,99.234285,23.583909,700.408548,29.336905,20.682527
3402.194023,42.192718,56.746686,85.955472,95.574412,72.02928,1479.855795,197.644954,30.468633
799.220413,21.948655,27.916341,34.02145,143.622959,30.102744,312.253937,34.801879,17.814145
2813.05943,37.288396,257.022223,56.478555,91.182331,63.763159,1562.387834,256.629238,60.189634
9070.408876,1002.042863,984.173653,996.815046,1144.312724,2229.33549,6550.556185,2361.768468,2070.412037
6093.926357,294.139238,1357.321513,121.089159,164.347775,1195.879214,4641.778622,2284.947032,1307.077283
2203.826931,27.675576,27.591725,73.15971,90.365242,52.431442,789.317972,102.865744,27.271047
4813.15721,579.546861,1329.372141,690.907112,756.013666,1657.037987,4147.444762,1718.976292,1251.514677
3340.830283,43.341942,43.77975,65.371623,74.579494,43.746129,2492.298194,653.010859,36.418411
2602.625559,49.224644,37.971293,82.805718,196.525311,49.375119,900.430485,242.66741,36.720216
1308.123119,53.733128,56.825613,72.102815,65.386862,64.359913,1210.809993,69.589236,56.872511
4272.939164,29.828217,498.530513,37.011258,73.040959,48.364103,884.882058,485.16219,271.841065
4928.155902,99.269289,58.463117,78.11166,142.022442,59.914127,1468.442205,119.636234,84.489494
717.954599,27.34599,21.994548,42.875213,47.887247,37.138884,555.191363,52.556487,27.813794
9995.07011,148.985915,1075.300311,121.046906,226.201244,1694.631956,5467.274656,2327.85044,1385.097445
2177.937685,26.728328,23.684509,57.625805,110.343313,64.037215,1993.556754,323.576389,210.719716
1258.327667,26.729868,40.242077,60.316529,121.964208,50.331566,506.534652,170.834571,28.969033
8703.590404,877.999997,2044.446964,325.225698,1016.625113,1414.9718,6168.204297,2634.509874,1364.702588
165.675062,40.933755,37.476059,58.54321,73.463795,38.574767,285.588942,69.752526,38.777657
3433.674914,350.635931,632.792663,131.588583,145.772761,727.418904,2130.624303,1377.52986,716.945604
7285.146993,41.830097,26.664627,65.268711,95.434414,327.490778,2634.893626,1134.860968,280.761667
887.32214,28.567099,46.178423,70.257025,67.075434,32.759991,1228.78256,123.791296,40.727117
