FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,NEW_3_1,NEW_3_2,NEW_3_3,NEW_3_4,NEW_3_5,MEM1,MEM2
102.736032,103.23877,48.729295,73.716443,18.124544,17.483701,57.389307,86.411174,114.603692,83.018105,89.413693,68.692726,96.761097,18.065259
383.291553,383.336567,75.757661,278.596385,11.726049,7.075002,321.430849,496.727089,412.516335,490.279339,424.856897,326.535544,64.974892,7.372439
983.46654,938.468515,624.718876,933.571735,25.151401,13.946714,529.690471,381.313016,501.783749,500.767374,496.839624,441.332988,113.657436,19.178571
411.018694,263.660963,198.800733,252.042397,20.028401,18.332618,143.933313,260.950634,230.386829,247.518023,141.327114,89.337401,73.616792,16.374955
474.278057,491.322431,92.681206,359.013774,16.037412,13.610352,191.014535,372.866074,333.802173,404.055515,416.921868,376.870886,119.852322,15.289077
615.389916,602.805754,186.477152,408.397647,20.777516,27.583907,208.912412,359.727752,288.937179,392.709117,468.970418,260.163857,242.04163,20.886211
333.919449,356.520116,105.472194,302.191433,11.457997,8.598578,124.718413,245.655223,203.574133,233.398143,226.428849,228.363036,191.272419,13.27277
468.414833,283.304175,76.009366,176.820433,5.311426,5.408594,131.991634,151.387704,164.427402,166.330956,192.727734,148.90186,101.673383,7.039487
177.579792,140.84219,29.176072,137.861528,3.838882,7.184884,12.363732,45.564396,31.480449,65.6175,63.316837,41.591316,14.333449,2.855254
621.10814,565.30778,104.487224,599.886849,14.269707,14.313003,116.321471,387.934432,319.355704,648.636738,435.588209,406.158692,161.792659,14.854626
366.067594,264.053025,84.721573,170.218993,13.74739,10.134518,46.898024,381.23262,289.159935,396.860258,212.2191,305.51171,37.362977,8.115646
310.701651,269.156034,85.7184,205.93432,12.095711,5.845284,151.462171,92.971452,88.689077,108.151598,135.18126,94.386114,43.821061,5.232044
26.530095,12.009082,3.724789,8.783795,2.783873,2.381944,4.499881,21.137226,19.810822,19.253793,28.09414,8.908932,5.991093,2.358887
465.719675,480.983819,234.922897,384.60953,14.987184,13.305643,152.48223,269.395425,266.968941,319.432975,285.937569,245.473614,62.850374,14.958057
250.347545,312.725692,63.237178,264.092546,15.399667,19.032368,66.098447,360.430482,377.424832,212.225365,414.989347,243.394547,73.657345,8.926543
777.504795,815.018033,584.01934,543.173604,7.530241,7.05393,367.933353,630.479982,509.510179,569.346063,527.000199,531.662389,180.426694,7.410039
362.656463,346.370142,122.709021,311.364428,13.590027,13.145176,80.032364,94.577532,80.017842,103.177045,112.412582,154.36511,34.396628,12.484593
936.081767,913.667985,307.107835,948.856004,59.53686,113.70953,462.128002,453.898703,599.122438,520.189149,561.633394,521.901853,478.81929,109.319753
607.952807,644.63947,159.057374,550.471254,29.137276,27.700344,136.67402,300.659415,300.830507,492.92588,392.219171,245.935915,81.55212,19.091273
1315.11517,1279.683944,607.489176,1174.573206,23.904877,15.331252,609.987547,407.647263,439.469981,613.483808,980.691932,540.595458,58.457754,15.08961
360.130537,279.271147,45.718203,169.287239,8.992494,9.242658,51.74836,166.841219,171.883473,210.453124,209.930145,141.729147,52.559493,8.740215
714.593227,705.22429,204.332329,559.935368,30.576189,23.535542,194.543342,590.63491,600.342667,607.668591,584.163599,542.423918,101.347774,17.545692
