MEM1,MEM2,MEM3,MEM4,SAF,F2,FCFS
820.057688,60.887563,40.918713,83.563051,83.563051,46.249304,7499.1712
3246.405938,43.030876,171.344702,155.727669,155.727669,47.38256,9344.446725
706.099163,75.69539,71.375432,71.995752,71.995752,30.597253,5126.256627
867.785615,105.788215,140.005241,403.732347,403.732347,112.616274,5538.22828
390.015169,28.176255,39.975366,58.139313,58.139313,19.477928,4213.10749
3302.483956,304.634118,642.926129,1664.387015,1664.387015,875.346071,11109.607406
1307.56592,142.413965,102.683252,370.244968,370.244968,141.641915,11444.204317
1578.713442,47.80513,39.787767,80.035326,80.035326,32.168518,7704.90093
1067.578217,46.080769,47.634281,473.284357,473.284357,35.825107,7070.390823
1394.011462,306.325632,190.237519,1028.253736,1028.253736,61.397427,8853.738516
564.15119,47.082453,28.01462,78.65073,78.65073,26.546683,6220.640889
2104.801528,780.682506,982.028698,1466.259249,1466.259249,534.182884,9363.122694
587.790474,33.250813,73.907479,60.367992,60.367992,198.914028,6508.781562
5759.385749,1172.926584,2624.186541,3203.847877,3203.847877,1963.23544,10184.051714
11122.992865,3643.584418,4940.46022,5964.461151,5964.461151,3919.747962,21740.858037
785.504315,54.979388,56.000741,77.598821,77.598821,61.340219,5013.515871
1570.899285,104.829721,54.870153,477.326218,477.326218,153.227591,8576.203487
8322.052477,897.19155,1097.84034,1451.950135,1451.950135,452.406093,13923.55559
979.592632,30.9703,45.8292,332.712551,332.712551,41.455484,4299.770978
1162.373349,45.065085,36.088696,33.833977,33.833977,26.05839,7830.579432
1212.447265,47.813798,34.4274,78.91761,78.91761,47.981328,4504.360674
753.765318,23.171496,20.04975,80.858923,80.858923,18.691904,2783.258687
11663.200877,4341.047404,4468.876525,6427.073794,6427.073794,5143.117306,17850.656754
3154.745238,62.059719,52.698022,1536.060718,1536.060718,428.350587,10116.498394
2975.0608,348.914982,968.385575,1196.465848,1196.465848,620.903186,9218.642261
4153.972353,1537.30209,1392.735307,2088.492994,2088.492994,1784.06831,13871.413735
1992.609313,29.999303,34.210802,189.745753,189.745753,34.684663,8770.792316
454.494594,31.688209,33.824409,29.087302,29.087302,23.81907,2313.036054
700.408548,23.583909,26.37828,29.336905,29.336905,20.682527,3885.77275
1479.855795,72.02928,45.027527,197.644954,197.644954,30.468633,9676.28364
312.253937,30.102744,34.15248,34.801879,34.801879,17.814145,2842.79586
1562.387834,63.763159,78.174135,256.629238,256.629238,60.189634,5780.164584
6550.556185,2229.33549,2114.124989,2361.768468,2361.768468,2070.412037,14397.432387
4641.778622,1195.879214,1065.462455,2284.947032,2284.947032,1307.077283,9901.168508
789.317972,52.431442,59.897477,102.865744,102.865744,27.271047,4760.403698
4147.444762,1657.037987,1350.181781,1718.976292,1718.976292,1251.514677,9947.358814
2492.298194,43.746129,55.528025,653.010859,653.010859,36.418411,7517.806546
900.430485,49.375119,56.790747,242.66741,242.66741,36.720216,8879.809131
1210.809993,64.359913,61.919947,69.589236,69.589236,56.872511,3419.9015
884.882058,48.364103,89.802913,485.16219,485.16219,271.841065,8538.930405
1468.442205,59.914127,43.317515,119.636234,119.636234,84.489494,9902.096806
555.191363,37.138884,29.73742,52.556487,52.556487,27.813794,3751.209682
5467.274656,1694.631956,1437.145004,2327.85044,2327.85044,1385.097445,14414.252349
1993.556754,64.037215,238.676531,323.576389,323.576389,210.719716,6708.790783
506.534652,50.331566,20.188379,170.834571,170.834571,28.969033,7456.152557
6168.204297,1414.9718,1908.83956,2634.509874,2634.509874,1364.702588,14460.476072
285.588942,38.574767,38.624392,69.752526,69.752526,38.777657,1943.797016
2130.624303,727.418904,750.096055,1377.52986,1377.52986,716.945604,7881.950847
2634.893626,327.490778,30.327358,1134.860968,1134.860968,280.761667,11834.54355
1228.78256,32.759991,61.464884,123.791296,123.791296,40.727117,6096.044576
