FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
4299.770978,1914.490724,1166.349932,655.870403,112.84795,34.463246,25.168535,3815.826575,3554.184102,4366.082198,2468.545768,4142.515063
7830.579432,5890.79482,1731.364249,701.430901,11.735447,36.735851,33.616708,6720.737374,1192.702457,7353.779554,3071.984851,7087.568384
4504.360674,1525.526067,961.740582,592.449226,21.123307,23.760533,43.987006,3519.531797,2142.487255,4315.772083,621.066578,4494.026605
2783.258687,990.890285,673.003363,285.394759,10.806559,14.210828,21.1004,2698.180662,739.020062,3093.066576,740.425405,3032.187562
17850.656754,14457.377134,9409.763378,10322.209578,2504.05849,2670.520897,6053.318721,17919.477041,8390.222383,17791.843157,9417.213896,17389.320595
10116.498394,5266.177364,3332.386205,1419.393678,38.960679,32.528002,35.482392,8619.917025,3096.100166,8633.597405,4751.741655,8361.743393
9218.642261,7010.071313,3414.712367,2265.093353,63.881958,676.016323,705.244068,8364.043169,2993.253987,9288.246682,7184.571188,9299.262894
13871.413735,10607.060358,6760.31461,6744.858941,662.114276,716.454149,2571.674222,12857.314659,6401.810161,14173.874554,9474.910711,14091.364845
8770.792316,3060.807394,3807.698962,1761.765905,18.188209,17.132196,497.534539,9084.33591,2881.74934,9296.520311,3738.451992,8775.71442
2313.036054,1232.55472,448.51881,343.311487,13.388844,19.323604,58.731976,2147.165493,442.463118,2392.989684,203.714575,2333.071086
3885.77275,2164.680812,1036.986341,1223.351149,70.469182,13.413241,15.960318,4467.119321,1551.835348,3828.921052,666.559085,3857.515181
9676.28364,4464.612059,3439.683867,1740.127265,19.106899,36.094525,26.563518,9298.688316,804.14452,9952.804885,2221.153812,9604.632647
2842.79586,1095.697702,1339.447594,27.94649,19.303913,31.090966,30.700904,2546.071426,283.08756,3533.984766,1249.992634,2364.710727
5780.164584,1356.148172,889.443865,270.084252,19.652518,48.835807,33.526855,4731.906572,106.048746,5921.230672,3167.551305,4298.046449
14397.432387,10770.215683,5258.038137,5694.592391,831.633166,1111.634185,4169.244914,14775.242048,8961.841408,14492.076554,11178.282158,14290.884779
9901.168508,6160.887668,4710.834504,4017.630593,137.360753,83.950265,4702.247021,8544.778413,6083.406313,9621.91449,8642.527114,10121.286895
4760.403698,1533.062963,659.741496,287.438713,25.947411,27.8817,36.026506,5802.455146,955.466515,7159.618228,2520.511438,5016.140932
9947.358814,7371.786578,4080.923737,3428.947962,280.8948,467.450865,1467.134251,10471.934583,4505.995773,9954.659759,6092.552541,9750.645655
7517.806546,2966.234052,1307.502269,1125.856506,13.814636,47.400507,36.605927,6664.959056,696.778567,7917.019533,1146.08909,7437.760792
8879.809131,5629.101563,2699.662817,1780.298731,36.503487,18.554587,1979.866371,8023.641292,3031.973979,8820.145648,3181.600275,9044.963261
3419.9015,1485.426771,942.444654,106.907657,15.009545,18.64133,35.457848,3858.60523,2708.224277,3564.77617,2848.619206,3381.426241
8538.930405,3821.935868,5724.874891,3227.920393,27.241289,296.418617,30.509644,11118.341955,1279.539274,9521.760554,5228.827111,10274.400858
9902.096806,6242.114608,4356.980002,313.699406,20.060974,21.306659,122.562561,8368.705603,1053.951476,7845.994607,3356.261945,9541.301991
3751.209682,678.535568,1284.916572,69.791258,27.023123,38.532507,27.08981,4052.22736,476.632231,3747.232292,482.356419,3755.950349
14414.252349,10651.370539,6326.226631,5472.142419,948.793285,512.391547,1189.710498,16812.854734,8132.519373,14775.022178,12018.495512,15383.706914
6708.790783,3035.125752,1638.338691,1699.438406,16.075545,33.082302,27.957225,5923.101251,3263.304647,6596.503081,4158.462556,6731.213121
7456.152557,3628.610485,3035.890225,237.769884,15.186662,242.304793,18.070801,5098.979936,286.697266,6494.19119,3551.176929,7576.235951
14460.476072,11660.791879,6371.273189,6504.977263,771.669286,1501.73414,3507.972244,13970.033351,8097.033149,15206.988207,11786.57474,14255.398313
1943.797016,298.662208,212.95079,63.264491,40.119447,31.722318,35.055467,1604.437229,269.527345,1874.443053,1983.84286,1927.981783
7881.950847,6146.87699,3030.790408,2378.163409,158.556038,227.89575,160.501148,7819.101159,2905.943952,7764.069159,5413.699274,7957.089419
11834.54355,7466.961829,4098.07665,3200.636931,14.349463,151.706593,209.937355,13148.577503,8400.015429,13128.697042,9968.970193,12109.015284
6096.044576,3628.978296,2736.024446,675.593239,25.968322,27.159853,49.328071,6105.496835,1990.779893,6321.592014,2392.901128,6071.615939
