2,1,3190,0.15625
7238,8,3201,0.71875
3428,1,3264,0.34375
36,4,3955,0.375
235,8,4003,0.5
68,4,4024,0.0625
105,1,4241,0.4375
13,1,4290,0.25
3,1,4333,0.09375
24,12,4364,0.53125
542,16,4571,0.625
7,16,5838,0.40625
60,8,5973,0.03125
2490,16,5991,0.65625
4,2,6710,0.28125
176,16,6765,0.59375
19156,32,6855,0.9375
13833,64,7214,0.90625
2,4,7230,0.1875
9204,256,7327,0.96875
3157,64,7329,0.78125
50,1,9011,0.125
7445,2,9156,0.6875
25,14,9244,0.46875
53,3,9258,0.21875
11017,8,9381,0.84375
15385,4,9554,0.3125
38,16,9563,0.5625
5,1,10876,0.75
63,3,11295,0.8125
23355,27,11436,0.875
9733,256,11453,1.0
