1626,8,6430,0.4375
8732,136,6536,0.0625
5679,18,6744,0.59375
227,2,6763,0.15625
27,16,7863,0.03125
1516,2,7893,0.09375
255,16,8149,0.125
383,4,8267,0.1875
9,16,9226,0.21875
17,32,9253,0.25
8393,2,9308,0.71875
9040,14,9321,0.75
40,1,9356,0.28125
17,1,9390,0.3125
10672,8,9399,0.375
15975,256,9663,0.96875
32,16,9702,0.34375
42,4,9894,0.40625
59,4,9972,0.46875
41,5,10203,0.5
340,2,10362,0.53125
7593,8,10556,0.8125
25237,32,10648,1.0
16,32,10686,0.5625
488,4,10715,0.65625
10936,8,10732,0.625
20,2,10777,0.6875
63,2,10830,0.78125
192,8,11612,0.84375
4,16,11921,0.875
6294,16,12034,0.9375
857,2,12054,0.90625
