34,32,18778,0.03125
3795,64,19101,0.75
9975,128,19131,1.0
13354,32,19140,0.0625
18,1,19251,0.09375
5,3,19352,0.125
5844,4,19374,0.59375
15605,32,19542,0.71875
131,32,19580,0.15625
19,4,19630,0.1875
23,16,19744,0.21875
30,4,19771,0.25
69,1,19953,0.28125
13010,1,20648,0.53125
861,42,20665,0.3125
336,6,20758,0.34375
9526,4,20833,0.40625
95,1,20875,0.375
10,19,20888,0.4375
36,32,20961,0.46875
36,1,21065,0.5
11,34,21095,0.5625
186,2,21155,0.625
8,32,21206,0.65625
4,20,21218,0.6875
12185,8,24979,0.8125
14360,8,24993,0.90625
7523,16,25284,0.78125
6362,1,25295,0.84375
8464,32,25335,0.875
32,1,25772,0.9375
1546,8,25788,0.96875
