9565,32,34039,0.0625
111,1,34145,0.03125
2,2,34206,0.09375
14177,8,34229,0.71875
33,8,34513,0.125
56436,1,34589,0.1875
15360,2,35030,0.3125
22208,64,35127,0.96875
37,2,36679,0.15625
10897,128,36732,0.21875
190,1,36864,0.25
41241,1,36938,0.28125
5100,16,37397,0.375
10067,32,37725,0.625
675,1,38662,0.34375
6548,8,39339,0.4375
27,8,39355,0.40625
2,16,39937,0.46875
34802,128,40214,1.0
8,1,40347,0.5
11,1,40401,0.53125
270,1,40425,0.5625
81,64,40975,0.59375
19,8,41368,0.65625
101,1,41386,0.6875
10388,18,43438,0.78125
9520,43,43781,0.75
20161,1,45977,0.8125
25,1,46456,0.84375
6110,8,46540,0.90625
122,1,46941,0.875
22,8,47092,0.9375
