13,1,3080,0.03125
26,1,3653,0.0625
3,3,4328,0.09375
16,5,4394,0.125
247,4,4499,0.71875
188,2,7532,0.15625
27064,64,7567,0.96875
10,1,7698,0.1875
63,32,7710,0.53125
9777,8,7749,0.4375
58,16,7817,0.21875
9698,9,7834,0.46875
46650,16,7893,0.90625
8806,256,7925,1.0
137,2,8055,0.25
10,32,8099,0.5
53,8,8177,0.28125
19,1,8861,0.3125
18227,4,8924,0.875
99,32,9281,0.5625
132,16,9286,0.375
9,4,9344,0.34375
14758,8,9390,0.78125
201,1,9602,0.40625
416,2,10137,0.84375
111,2,10262,0.65625
2,32,10441,0.59375
26,16,10467,0.625
11158,4,10541,0.8125
78,8,10722,0.75
99,1,10808,0.6875
4,64,10824,0.9375
