7659,4,0
12878,2,172
27,1,1118
37,3,2466
31,32,2495
94,8,2507
7,16,2596
14,1,2757
16061,8,2893
89,8,3806
19,8,3854
15,4,4025
6020,8,4139
11,32,4166
150,1,4181
1741,21,4432
5,12,4575
132,7,4499
10,4,4852
23,11,5457
42,64,5420
6,1,6048
38,4,5726
9,16,5847
152,3,6241
85,1,4475
36,2,6836
6,1,7848
97,8,8061
17,4,7964
24,1,8287
912,32,6322
23,16,8359
6,2,8369
10151,128,8535
12,1,8519
4886,3,8243
12580,1,8328
503,16,8407
12033,4,8200
948,4,9208
76,8,8932
20,32,8570
12879,64,5484
22287,32,8764
18801,16,8869
9159,128,4924
42138,128,8393
