S3_V3_D3
32.204728
112.461555
32.052319
66.627949
20.406984
63.456433
38.263413
28.027821
25.299117
34.392288
24.119283
48.581505
23.252299
76.598909
1235.423514
47.640907
26.565318
42.887071
29.26375
60.255352
59.904772
15.677759
1561.303679
46.548921
39.926268
21.790188
30.417078
15.912599
17.565122
28.666751
25.696435
26.727134
299.619572
69.59006
22.006027
138.469472
25.309763
28.426032
18.205478
28.833594
31.351718
28.856848
96.50627
21.431259
28.908223
596.703671
44.769762
79.478489
24.999259
19.674728
